date,close
QQQ260311C00500000,107.02
QQQ260311C00525000,82.02
QQQ260311C00550000,57.02
QQQ260311C00555000,52.03
QQQ260311C00560000,47.03
QQQ260311C00562000,45.04
QQQ260311C00563000,44.04
QQQ260311C00564000,43.04
QQQ260311C00565000,42.04
QQQ260311C00570000,37.04
QQQ260311C00571000,36.05
QQQ260311C00572000,35.05
QQQ260311C00573000,34.05
QQQ260311C00575000,32.05
QQQ260311C00577000,30.06
QQQ260311C00578000,29.06
QQQ260311C00579000,28.07
QQQ260311C00580000,27.08
QQQ260311C00581000,26.08
QQQ260311C00582000,25.09
QQQ260311C00583000,24.1
QQQ260311C00584000,23.11
QQQ260311C00585000,22.12
QQQ260311C00586000,21.14
QQQ260311C00587000,20.16
QQQ260311C00588000,19.18
QQQ260311C00589000,18.21
QQQ260311C00590000,17.24
QQQ260311C00591000,16.28
QQQ260311C00592000,15.33
QQQ260311C00593000,14.38
QQQ260311C00594000,13.44
QQQ260311C00595000,12.52
QQQ260311C00596000,11.6
QQQ260311C00597000,10.7
QQQ260311C00598000,9.81
QQQ260311C00599000,8.94
QQQ260311C00600000,8.97
QQQ260311C00601000,7.88
QQQ260311C00602000,8.18
QQQ260311C00603000,7.4
QQQ260311C00604000,6.64
QQQ260311C00605000,5.91
QQQ260311C00606000,5.21
QQQ260311C00607000,4.58
QQQ260311C00608000,3.96
QQQ260311C00609000,3.33
QQQ260311C00610000,2.75
QQQ260311C00611000,2.23
QQQ260311C00612000,1.75
QQQ260311C00613000,1.33
QQQ260311C00614000,1
QQQ260311C00615000,0.67
QQQ260311C00616000,0.44
QQQ260311C00617000,0.27
QQQ260311C00618000,0.15
QQQ260311C00619000,0.09
QQQ260311C00620000,0.05
QQQ260311C00621000,0.03
QQQ260311C00622000,0.02
QQQ260311C00623000,0.02
QQQ260311C00624000,0.02
QQQ260311C00625000,0
QQQ260311C00626000,0.01
QQQ260311C00627000,0
QQQ260311C00628000,0.01
QQQ260311C00629000,0
QQQ260311C00630000,0
QQQ260311C00631000,0
QQQ260311C00632000,0
QQQ260311C00633000,0
QQQ260311C00634000,0
QQQ260311C00635000,0
QQQ260311C00636000,0
QQQ260311C00637000,0
QQQ260311C00638000,0
QQQ260311C00639000,0
QQQ260311C00640000,0
QQQ260311C00641000,0
QQQ260311C00642000,0
QQQ260311C00643000,0
QQQ260311C00644000,0
QQQ260311C00645000,0
QQQ260311C00646000,0
QQQ260311C00647000,0
QQQ260311C00648000,0
QQQ260311C00649000,0
QQQ260311C00650000,0
QQQ260311C00655000,0
QQQ260311C00660000,0
QQQ260311C00665000,0
QQQ260311C00670000,0
QQQ260311C00675000,0
